2026-04-10 00:12:35 | INFO | import | 导入任务完成 import_file_id=53 chars=5 units=9 events=4 rels=0
2026-04-10 00:15:21 | INFO | import | 导入预览 AI 增强开始 import_file_id=54 filename=tes22t.txt
2026-04-10 00:17:15 | INFO | import | AI 调用成功 task=import_narrative_parse provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:17:15 | INFO | import | 导入预览 AI 增强完成 import_file_id=54
2026-04-10 00:19:01 | INFO | import | 导入任务已排队 import_file_id=54 filename=tes22t.txt
2026-04-10 00:19:01 | INFO | import | 导入任务开始 import_file_id=54 filename=tes22t.txt
2026-04-10 00:19:23 | INFO | import | AI 调用成功 task=import_commit_review provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:19:23 | INFO | import | 清理旧导入遗留数据 char_ids=[1, 2, 3, 4] legacy_events=0 legacy_observations=0
2026-04-10 00:19:23 | INFO | import | 导入事件创建完成 import_file_id=54 created_events=7
2026-04-10 00:19:31 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:19:41 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:19:51 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:19:59 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:20:10 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:20:18 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:20:28 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:20:39 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:20:47 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 00:20:47 | INFO | import | 导入任务完成 import_file_id=54 chars=4 units=9 events=7 rels=2
2026-04-10 11:57:27 | INFO | import | 导入预览 AI 增强开始 import_file_id=1 filename=tes22t.txt
2026-04-10 11:57:27 | WARNING | import | AI 调用异常 task=import_narrative_parse provider=deepseek model=deepseek-chat attempt=1 error=Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
2026-04-10 11:57:28 | WARNING | import | AI 调用异常 task=import_narrative_parse provider=deepseek model=deepseek-chat attempt=1 error=Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
2026-04-10 11:57:28 | WARNING | import | AI 调用异常 task=import_narrative_parse provider=deepseek model=deepseek-chat attempt=1 error=Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
2026-04-10 11:57:28 | INFO | import | 导入预览 AI 增强完成 import_file_id=1
2026-04-10 11:57:35 | INFO | import | 导入预览 AI 增强开始 import_file_id=2 filename=tes22t.txt
2026-04-10 11:57:36 | WARNING | import | AI 调用异常 task=import_narrative_parse provider=deepseek model=deepseek-chat attempt=1 error=Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
2026-04-10 11:57:36 | WARNING | import | AI 调用异常 task=import_narrative_parse provider=deepseek model=deepseek-chat attempt=1 error=Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
2026-04-10 11:57:37 | WARNING | import | AI 调用异常 task=import_narrative_parse provider=deepseek model=deepseek-chat attempt=1 error=Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
2026-04-10 11:57:37 | INFO | import | 导入预览 AI 增强完成 import_file_id=2
2026-04-10 12:03:03 | INFO | import | 导入预览 AI 增强开始 import_file_id=3 filename=tes22t.txt
2026-04-10 12:04:54 | INFO | import | AI 调用成功 task=import_narrative_parse provider=deepseek model=deepseek-chat attempt=1
2026-04-10 12:04:54 | INFO | import | 导入预览 AI 增强完成 import_file_id=3
2026-04-10 12:07:12 | INFO | import | 导入任务已排队 import_file_id=3 filename=tes22t.txt
2026-04-10 12:07:12 | INFO | import | 导入任务开始 import_file_id=3 filename=tes22t.txt
2026-04-10 12:07:32 | INFO | import | AI 调用成功 task=import_commit_review provider=deepseek model=deepseek-chat attempt=1
2026-04-10 12:07:32 | INFO | import | 清理旧导入遗留数据 char_ids=[1, 2, 3, 4] legacy_events=0 legacy_observations=0
2026-04-10 12:07:32 | INFO | import | 导入事件创建完成 import_file_id=3 created_events=4
2026-04-10 12:07:41 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 12:07:51 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 12:07:59 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 12:08:06 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 12:08:15 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 12:08:22 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 12:08:32 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 12:08:40 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 12:08:49 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 12:08:49 | INFO | import | 导入任务完成 import_file_id=3 chars=4 units=9 events=4 rels=2
2026-04-10 21:44:56 | INFO | import | 导入预览 AI 增强开始 import_file_id=4 filename=tes22t.txt
2026-04-10 21:46:51 | INFO | import | AI 调用成功 task=import_narrative_parse provider=deepseek model=deepseek-chat attempt=1
2026-04-10 21:46:51 | INFO | import | 导入预览 AI 增强完成 import_file_id=4
2026-04-10 21:49:00 | INFO | import | 导入任务已排队 import_file_id=4 filename=tes22t.txt
2026-04-10 21:49:00 | INFO | import | 导入任务开始 import_file_id=4 filename=tes22t.txt
2026-04-10 21:49:21 | INFO | import | AI 调用成功 task=import_commit_review provider=deepseek model=deepseek-chat attempt=1
2026-04-10 21:49:21 | INFO | import | 清理旧导入遗留数据 char_ids=[1, 2, 3, 4] legacy_events=0 legacy_observations=0
2026-04-10 21:49:21 | INFO | import | 导入事件创建完成 import_file_id=4 created_events=4
2026-04-10 21:49:30 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 21:49:40 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 21:49:48 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 21:49:57 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 21:50:07 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 21:50:17 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 21:50:27 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 21:50:38 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 21:50:49 | INFO | import | AI 调用成功 task=interaction_analysis_rebuild provider=deepseek model=deepseek-chat attempt=1
2026-04-10 21:50:49 | INFO | import | 导入任务完成 import_file_id=4 chars=4 units=9 events=4 rels=2
2026-04-10 22:01:12 | INFO | import | AI 调用成功 task=ai_suggest_update provider=deepseek model=deepseek-chat attempt=1
2026-04-10 22:40:01 | INFO | import | 导入预览 AI 增强开始 import_file_id=5 filename=tes22t.txt
2026-04-10 22:43:01 | WARNING | import | 导入预览 AI 增强降级 import_file_id=5 warning=AI 解析暂时不可用，已切换为基础规则解析。原因：TimeoutError
2026-04-10 22:44:48 | INFO | import | 导入预览 AI 增强开始 import_file_id=6 filename=tes22t.txt
